ER34101,ER34901,income_2010,income_2020,above_median_2021,wealth_no_equity,wealth_with_equity,age_head,hh_size,num_children,education,education_years,employment_status,family_structure,race_ethnicity,geography,housing_tenure,monthly_housing_cost,annual_housing_cost,housing_cost_burden,cost_burdened
438,7503,34000.0,23300.0,0.0,10000,-10000,37,3,2,HS Diploma,12.0,Working,Single/Unpartnered,White (Non-Hispanic),South,Owner,950.0,11400.0,0.3352941176470588,Cost Burdened (≥30%)
3902,635,17339.0,148811.0,1.0,1306500,1756500,84,1,0,Graduate Degree,17.0,Not in Labor Force,Married/Partnered,White (Non-Hispanic),West,Owner,,,,Not Reported
1313,6555,12854.0,48192.0,0.0,-14300,-14300,37,6,3,HS Diploma,12.0,Working,Married/Partnered,White (Non-Hispanic),Midwest,Renter,495.0,5940.0,0.462112960946009,Cost Burdened (≥30%)
7844,3893,7000.0,89392.0,1.0,30300,30300,19,1,0,HS Diploma,12.0,Working,Single/Unpartnered,White (Non-Hispanic),South,Renter,250.0,3000.0,0.42857142857142855,Cost Burdened (≥30%)
6128,2510,28125.0,84500.0,1.0,-10000,-10000,29,1,0,Some College / AA,14.0,Working,Married/Partnered,White (Non-Hispanic),South,Neither,,,,Not Reported
3561,4909,32916.0,37176.0,0.0,4100,4100,72,2,0,Some College / AA,13.0,Not in Labor Force,Married/Partnered,White (Non-Hispanic),Midwest,Renter,,,,Not Reported
109,812,20600.0,24075.0,0.0,411800,491800,70,1,0,Some College / AA,14.0,Not in Labor Force,Single/Unpartnered,White (Non-Hispanic),Midwest,Owner,,,,Not Reported
1037,1005,17833.0,24737.0,0.0,11000,11000,38,1,0,HS Diploma,12.0,Working,Married/Partnered,White (Non-Hispanic),South,Renter,675.0,8100.0,0.4542140974597656,Cost Burdened (≥30%)
5631,7196,35000.0,168500.0,1.0,119500,119500,49,4,2,Graduate Degree,16.0,Working,Married/Partnered,White (Non-Hispanic),South,Renter,2000.0,24000.0,0.6857142857142857,Cost Burdened (≥30%)
6045,1957,33400.0,61110.0,0.0,8000,8000,59,1,0,HS Diploma,12.0,Working,Married/Partnered,White (Non-Hispanic),Northeast,Renter,625.0,7500.0,0.2245508982035928,Not Burdened (<30%)
4839,2935,30336.0,29628.0,0.0,35500,235500,69,2,0,HS Diploma,12.0,Working,Married/Partnered,White (Non-Hispanic),Northeast,Owner,,,,Not Reported
5238,217,19609.0,94203.0,1.0,215200,328200,75,2,0,Some College / AA,14.0,Not in Labor Force,Married/Partnered,Other,West,Owner,1437.0,17244.0,0.879392115865164,Cost Burdened (≥30%)
8488,7458,29000.0,23050.0,0.0,-500,-500,36,6,4,Some College / AA,14.0,Working,Married/Partnered,White (Non-Hispanic),West,Renter,800.0,9600.0,0.3310344827586207,Cost Burdened (≥30%)
